census_block,provider_id,travel_time_type,travel_time_minutes
CB038,PR015,DRIVING,207.266666664
CB038,PR016,DRIVING,233.366666664
CB039,PR001,DRIVING,160.433333334
CB039,PR002,DRIVING,190.95000000000002
CB039,PR003,DRIVING,152.266666668
CB039,PR004,DRIVING,121.516666668
CB039,PR005,DRIVING,120.23333333400001
CB039,PR006,DRIVING,109.2
CB039,PR007,DRIVING,106.866666666
CB039,PR008,DRIVING,109.216666668
CB039,PR009,DRIVING,123.45
CB039,PR010,DRIVING,104.050000002
CB039,PR011,DRIVING,156.683333334
CB039,PR012,DRIVING,132.983333334
CB039,PR013,DRIVING,142.733333334
CB039,PR014,DRIVING,110.4
CB039,PR015,DRIVING,86.083333332
CB039,PR016,DRIVING,61.38333333600001
CB040,PR001,DRIVING,54.833333333999995
CB040,PR002,DRIVING,85.35000000000001
CB040,PR003,DRIVING,46.666666668
CB040,PR004,DRIVING,20.666666664
CB040,PR005,DRIVING,14.200000002
CB040,PR006,DRIVING,18.666666666
CB040,PR007,DRIVING,17.783333333999998
CB040,PR008,DRIVING,20.733333336
CB040,PR009,DRIVING,35.483333334
CB040,PR010,DRIVING,28.216666668000002
CB040,PR011,DRIVING,68.7
CB040,PR012,DRIVING,66.949999998
CB040,PR013,DRIVING,61.24999999799999
CB040,PR014,DRIVING,61.949999999999996
CB040,PR015,DRIVING,83.966666664
CB040,PR016,DRIVING,110.06666666400001
CB041,PR001,DRIVING,116.183333334
CB041,PR002,DRIVING,146.7
CB041,PR003,DRIVING,108.033333336
CB041,PR004,DRIVING,82.016666664
CB041,PR005,DRIVING,72.883333332
CB041,PR006,DRIVING,67.916666664
CB041,PR007,DRIVING,68.599999998
CB041,PR008,DRIVING,69.66666666600001
CB041,PR009,DRIVING,84.766666668
CB041,PR010,DRIVING,52.966666668
CB041,PR011,DRIVING,117.98333333400001
CB041,PR012,DRIVING,18.916666667999998
CB041,PR013,DRIVING,104.03333333399999
CB041,PR014,DRIVING,16.966666668000002
CB041,PR015,DRIVING,38.983333332
CB041,PR016,DRIVING,65.1
CB042,PR001,DRIVING,45.933333336
CB042,PR002,DRIVING,77.050000002
CB042,PR003,DRIVING,42.616666668
CB042,PR004,DRIVING,46.016666664
CB042,PR005,DRIVING,37.283333334
CB042,PR006,DRIVING,46.600000001999994
CB042,PR007,DRIVING,48.533333334
CB042,PR008,DRIVING,49.766666664
